start,stop,pretty_duration,duration,project_name,pid,wid,id,guid,billable,description,duronly,at,uid,tags,active
2023-05-04 12:56:59,,10m 34s,634,pers-project,188708887,6262077,2955288795,4f8230656e467768449b4b1b439b1c81,FALSE,Build Shiny app for time tracking goals,TRUE,2023-05-04T12:57:00+00:00,8342459,,TRUE
2023-05-04 12:34:07,2023-05-04 12:39:07,5m,300,BlueLabs,188664611,6262077,2955247043,d8385d3d68213191c61b79557afa73f5,FALSE,BlueLabs general work,TRUE,2023-05-04T12:56:57+00:00,8342459,,TRUE
2023-05-04 02:21:10,2023-05-04 02:31:00,9m 50s,590,responsibilities/chores,188625153,6262077,2954522265,2ddc9a98685d8a52bf45435b58a9e45f,FALSE,Laundry,TRUE,2023-05-04T02:41:39+00:00,8342459,,TRUE
2023-05-03 20:28:33,2023-05-03 20:57:14,28m 41s,1721,pers-project,188708887,6262077,2954278567,a24dcce8061e58e156718e3d78e8c291,FALSE,Build Shiny app for time tracking goals,TRUE,2023-05-03T20:57:15+00:00,8342459,,TRUE
2023-05-03 20:19:09,2023-05-03 20:25:09,6m,360,responsibilities/chores,188625153,6262077,2954274470,547522b5c306f322d7ccf224e40fac3b,FALSE,Clean up kitchen,TRUE,2023-05-03T20:25:15+00:00,8342459,,TRUE
2023-05-03 20:04:29,2023-05-03 20:15:29,11m,660,BlueLabs,188664611,6262077,2954262936,2ca55d25fefc74ce9fe12245d1f18c75,FALSE,BlueLabs meeting,TRUE,2023-05-03T20:15:36+00:00,8342459,,TRUE
2023-05-03 19:01:54,2023-05-03 19:45:42,43m 48s,2628,BlueLabs,188664611,6262077,2954169290,011185140fc2ac76270ccbe724936ba7,FALSE,(6764) Delete My Account Launch Report: Analysis,TRUE,2023-05-03T19:45:44+00:00,8342459,,TRUE
2023-05-03 18:32:03,2023-05-03 19:00:03,28m,1680,BlueLabs,188664611,6262077,2954130227,19cba15af7e2e19977ea405ddf0ee655,FALSE,BlueLabs meeting,TRUE,2023-05-03T18:33:16+00:00,8342459,,TRUE
2023-05-03 18:13:32,2023-05-03 18:32:46,19m 14s,1154,BlueLabs,188664611,6262077,2954104035,0da80e1e0d54fdc0fe8acb6ac16762fa,FALSE,Plans Phase 2 Demo stuff,TRUE,2023-05-03T18:32:46+00:00,8342459,,TRUE
2023-05-03 17:55:08,2023-05-03 18:13:29,18m 21s,1101,BlueLabs,188664611,6262077,2954076879,9d87b8d7ea9577bbb1bb91f52ab6cdf2,FALSE,(6764) Delete My Account Launch Report: Analysis,TRUE,2023-05-03T18:13:30+00:00,8342459,,TRUE
2023-05-03 17:30:40,2023-05-03 17:55:40,25m,1500,BlueLabs,188664611,6262077,2954072041,5d34ae940172ab2b4e374aee92be0a05,FALSE,Delete My Account dashboard for CMS Research Team,TRUE,2023-05-03T17:55:06+00:00,8342459,,TRUE
2023-05-03 16:30:06,2023-05-03 17:30:06,1h,3600,BlueLabs,188664611,6262077,2953958183,cb4600304651562eb5eea1a065425826,FALSE,BlueLabs meeting,TRUE,2023-05-03T17:54:26+00:00,8342459,,TRUE
2023-05-03 16:20:24,2023-05-03 16:30:24,10m,600,BlueLabs,188664611,6262077,2953935877,acc6e7bdda675c3b4c141672dd9e9bb4,FALSE,(6764) Delete My Account Launch Report: Analysis,TRUE,2023-05-03T16:40:09+00:00,8342459,,TRUE
2023-05-03 15:17:38,2023-05-03 15:34:38,17m,1020,BlueLabs,188664611,6262077,2953819779,2f2e43bb5cf05c4c8840276a8ee37d5c,FALSE,BlueLabs general work,TRUE,2023-05-03T15:44:46+00:00,8342459,,TRUE
2023-05-03 14:59:02,2023-05-03 15:13:46,14m 44s,884,responsibilities/chores,188625153,6262077,2953780285,d4a0d31c6148a0506fb628952cfca70c,FALSE,Laundry,TRUE,2023-05-03T15:13:46+00:00,8342459,,TRUE
2023-05-02 20:00:29,2023-05-02 21:05:29,1h 5m,3900,BlueLabs,188664611,6262077,2952556022,f56025b1bfb80ea318f4ebf8c17ae531,FALSE,BlueLabs meeting,TRUE,2023-05-02T20:57:39+00:00,8342459,,TRUE
2023-05-02 18:39:07,2023-05-02 19:49:10,1h 10m 3s,4203,BlueLabs,188664611,6262077,2952374522,a5dfc54679650c641db8552d58bef7d1,FALSE,Medicare.gov user classification model,TRUE,2023-05-02T19:49:13+00:00,8342459,,TRUE
2023-05-02 18:32:19,2023-05-02 18:37:57,5m 38s,338,BlueLabs,188664611,6262077,2952365036,273bda1c56945e5471c0f47979b8c3c1,FALSE,"Delete My Account work for Chally, CMS Research Team",TRUE,2023-05-02T18:37:58+00:00,8342459,,TRUE
2023-05-02 16:59:34,2023-05-02 17:19:34,20m,1200,BlueLabs,188664611,6262077,2952227208,b3be7a22dd2820284c6124840511da27,FALSE,"Delete My Account work for Chally, CMS Research Team",TRUE,2023-05-02T18:33:50+00:00,8342459,,TRUE
2023-05-02 16:00:25,2023-05-02 16:43:25,43m,2580,BlueLabs,188664611,6262077,2952223331,5aa51ce6c9b8c33f519a90c5f2b0d1d9,FALSE,BlueLabs meeting,TRUE,2023-05-02T16:57:50+00:00,8342459,,TRUE
2023-05-02 14:20:42,2023-05-02 16:00:42,1h 40m,6000,BlueLabs,188664611,6262077,2952225653,596326ed5de03ecac91e3f05d1d24bdd,FALSE,Plans Phase 2 Demo stuff,TRUE,2023-05-02T16:58:55+00:00,8342459,,TRUE
2023-05-02 14:00:03,2023-05-02 14:20:03,20m,1200,BlueLabs,188664611,6262077,2952224437,47ee8c5fa93e70c3c8716adef2406087,FALSE,BlueLabs meeting,TRUE,2023-05-02T16:58:16+00:00,8342459,,TRUE
2023-05-02 13:04:42,2023-05-02 14:00:42,56m,3360,BlueLabs,188664611,6262077,2951747417,ddecf391a1a8676f45660ff930232f83,FALSE,"Delete My Account work for Chally, CMS Research Team",TRUE,2023-05-02T18:33:44+00:00,8342459,,TRUE
2023-05-02 00:47:55,2023-05-02 00:54:16,6m 21s,381,responsibilities/chores,188625153,6262077,2950834129,e8fc2449b5565ced1806f7c764831f80,FALSE,Laundry,TRUE,2023-05-02T00:54:17+00:00,8342459,,TRUE
2023-05-02 00:20:31,2023-05-02 00:37:19,16m 48s,1008,responsibilities/chores,188625153,6262077,2950816502,ce01fa573d1760e668e9a32ed3d53553,FALSE,Clean up kitchen,TRUE,2023-05-02T00:37:20+00:00,8342459,,TRUE
2023-05-01 19:53:49,2023-05-01 20:05:45,11m 56s,716,responsibilities/chores,188625153,6262077,2950580923,4e9c7465aa029e7271ca9cbae6fc6ce6,FALSE,Laundry,TRUE,2023-05-01T20:05:46+00:00,8342459,,TRUE
2023-05-01 19:21:10,2023-05-01 19:27:10,6m,360,BlueLabs,188664611,6262077,2950548099,66193b5e831e0b3392018df3382c5455,FALSE,(6764) Delete My Account Launch Report: Analysis,TRUE,2023-05-01T19:27:18+00:00,8342459,,TRUE
2023-05-01 19:00:53,2023-05-01 19:21:53,21m,1260,BlueLabs,188664611,6262077,2950541733,39e8409262c90c8593c2ca345ddadc02,FALSE,BlueLabs meeting,TRUE,2023-05-01T19:22:00+00:00,8342459,,TRUE
2023-05-01 18:54:08,2023-05-01 19:00:08,6m,360,BlueLabs,188664611,6262077,2950505884,44df40aea40f471e2f769a7ca6ce2117,FALSE,(6764) Delete My Account Launch Report: Analysis,TRUE,2023-05-01T19:21:48+00:00,8342459,,TRUE
2023-05-01 18:00:00,2023-05-01 18:41:00,41m,2460,BlueLabs,188664611,6262077,2950459314,df8aac9977b1184c65b42a62bbb0466f,FALSE,BlueLabs meeting,TRUE,2023-05-01T18:41:33+00:00,8342459,,TRUE
2023-05-01 16:53:48,2023-05-01 17:32:11,38m 23s,2303,BlueLabs,188664611,6262077,2950342466,60ca1e06c33eee47087bb1a4dc6a72d9,FALSE,(6764) Delete My Account Launch Report: Analysis,TRUE,2023-05-01T17:32:12+00:00,8342459,,TRUE
2023-05-01 15:42:06,2023-05-01 16:46:06,1h 4m,3840,BlueLabs,188664611,6262077,2950240869,05c9f31fc42df5ce9b843f5f84c5e58e,FALSE,(6764) Delete My Account Launch Report: Analysis,TRUE,2023-05-01T16:52:01+00:00,8342459,,TRUE
2023-05-01 15:17:23,2023-05-01 15:36:23,19m,1140,BlueLabs,188664611,6262077,2950204732,092cb1f0c905124506171f72d0c56635,FALSE,(6764) Delete My Account Launch Report: Analysis,TRUE,2023-05-01T15:42:03+00:00,8342459,,TRUE
2023-05-01 15:00:12,2023-05-01 15:17:12,17m,1020,BlueLabs,188664611,6262077,2950204483,a03c57f816d77b6d4630e9aa44a94401,FALSE,BlueLabs meeting,TRUE,2023-05-01T15:17:18+00:00,8342459,,TRUE
2023-05-01 14:00:53,2023-05-01 14:31:53,31m,1860,BlueLabs,188664611,6262077,2950137621,9996e3ce4c831e15ec129745a7fdb389,FALSE,BlueLabs meeting,TRUE,2023-05-01T14:32:00+00:00,8342459,,TRUE
2023-05-01 13:08:34,2023-05-01 13:26:08,17m 34s,1054,responsibilities/chores,188625153,6262077,2950018668,5b3c74edec2adc7c90b093b20cf5d050,FALSE,Clean up room/bathroom,TRUE,2023-05-01T13:26:09+00:00,8342459,,TRUE
2023-05-01 12:45:00,2023-05-01 13:08:00,23m,1380,responsibilities/chores,188625153,6262077,2950018568,cf9782dd32bf3744cda70e151e345aff,FALSE,Clean up kitchen,TRUE,2023-05-01T15:07:19+00:00,8342459,,TRUE
2023-04-28 18:45:53,2023-04-28 19:06:53,21m,1260,BlueLabs,188664611,6262077,2948534078,f7d4f50b87654b0e018e171f5237337f,FALSE,(6764) Delete My Account Launch Report: Analysis,TRUE,2023-04-28T19:38:07+00:00,8342459,,TRUE
2023-04-28 17:01:50,2023-04-28 18:18:39,1h 16m 49s,4609,BlueLabs,188664611,6262077,2948411124,fe30d201859a93130dda8d14d9d795f4,FALSE,(6764) Delete My Account Launch Report: Analysis,TRUE,2023-04-28T18:18:39+00:00,8342459,,TRUE
2023-04-28 15:47:09,2023-04-28 16:27:09,40m,2400,BlueLabs,188664611,6262077,2948303502,2170ba566f46d09a98fde133035a6bfb,FALSE,(6764) Delete My Account Launch Report: Analysis,TRUE,2023-04-28T17:01:48+00:00,8342459,,TRUE
2023-04-28 14:38:09,2023-04-28 15:24:00,45m 51s,2751,read-books,188642142,6262077,2948185282,9919aff31436cd75c3f2f9dda6e8d31d,FALSE,Read Cosmic Banditos,TRUE,2023-04-28T15:34:33+00:00,8342459,,TRUE
2023-04-28 14:09:12,2023-04-28 14:29:00,19m 48s,1188,read-books,188642142,6262077,2948133079,6e4d10c1bcc7c7efa89d0c27dc3eda7b,FALSE,Read Cosmic Banditos,TRUE,2023-04-28T14:31:19+00:00,8342459,,TRUE
2023-04-28 13:32:19,2023-04-28 13:58:57,26m 38s,1598,responsibilities/chores,188625153,6262077,2948063271,4a2b5406cbc9f68b33c380a4cfe82ccc,FALSE,Clean up kitchen,TRUE,2023-04-28T13:58:57+00:00,8342459,,TRUE
2023-04-28 13:23:26,2023-04-28 13:32:18,8m 52s,532,responsibilities/chores,188625153,6262077,2948046036,de1f24bdd6619ac961f769465e2e34a5,FALSE,Clean up room/bathroom,TRUE,2023-04-28T13:32:18+00:00,8342459,,TRUE
2023-04-27 19:00:36,2023-04-27 19:22:36,22m,1320,BlueLabs,188664611,6262077,2946922331,4babb42e787ced690a0cb184cbd1ba7b,FALSE,BlueLabs meeting,TRUE,2023-04-27T19:22:40+00:00,8342459,,TRUE
